,precision,recall,f1-score,support
Bildirim,0.9034369885433715,0.92,0.911643270024773,600.0
Diğer,0.9283387622149837,0.95,0.9390444810543658,600.0
Güvenlik,0.8853754940711462,0.9142857142857143,0.8995983935742972,245.0
Kişisel,0.859375,0.825,0.8418367346938775,200.0
Spam,0.9337016574585635,0.8492462311557789,0.8894736842105263,199.0
İş/Acil,0.8393782383419689,0.81,0.8244274809160306,200.0
accuracy,0.901174168297456,0.901174168297456,0.901174168297456,0.901174168297456
macro avg,0.891601023438339,0.8780886575735822,0.8843373407456451,2044.0
weighted avg,0.9009489843469138,0.901174168297456,0.9007203343214589,2044.0
