kelime,onem
aşağıdaki,1.1844729687131523
merhaba,1.0961287472193155
instagram,1.095381874786146
faturası,1.036016236906177
tıklayın,0.9777478369970118
facebook,0.9243786445294558
fatura,0.9003719912305298
linkedin,0.8879839396907039
üyelik,0.84983281156989
lütfen,0.8055538610596514
öğrenci,0.7975964451028785
hemen,0.7902652446456881
ders,0.7845606757733086
güvenlik,0.7710073784912158
acilen,0.7663169534279864
öğrenciler,0.7398857540394577
sayın,0.7348170045426929
faturanız,0.7157789619798944
arkadaşlar,0.6960906823820707
aci,0.6800201232951577
